序号,法语词条,原书页码
1,à,213
2,à partir de,213
3,accident,213
4,acheter,213
5,acteur(trice),213
6,activité,213
7,actuel(le),213
8,adorer,213
9,adresse,213
10,aéroport,213
11,affiche,213
12,âge,213
13,agence,213
14,agence immobilière,213
15,agenda,213
16,ah,213
17,aimer,213
18,air,213
19,air conditionné,213
20,Albi,213
21,album,213
22,aller,213
23,aller,213
24,aller-retour,213
25,allô,213
26,allumer,213
27,alors,213
28,ami(e),213
29,petit ami,213
30,amour,213
31,amoureux(euse),213
32,amuser(s'),213
33,an,213
34,ancien(ne),213
35,année,213
36,Bonne année !,213
37,anniversaire,213
38,annonce,213
39,petite annonce,213
40,août,213
41,appartement,213
42,appeler,213
43,s'appeler,213
44,apprendre,213
45,après,213
46,après-midi,213
47,aquarium,213
48,arc,213
49,arc de triomphe,213
50,Arcachon,213
51,archéologie,213
52,argent,213
53,arrêter,213
54,arrêter de faire qch.,213
55,arrivée,213
56,arriver,213
57,art,213
58,article,213
59,artiste,213
60,assez,213
61,assiette,213
62,assistant(e),213
63,athlétisme,213
64,attendre,213
65,attention,213
66,faire attention à...,213
67,au-dessous,213
68,au-dessus,213
69,au-dessus de,213
70,aujourd'hui,213
71,aussi,213
72,autoroute,214
73,autour de,214
74,autre,214
75,avant,214
76,avantage,214
77,avec,214
78,avenir,214
79,avenue,214
80,avion,214
81,avoir,214
82,bac,214
83,baguette,214
84,baigner(se),214
85,banque,214
86,bar,214
87,Barcelone,214
88,basket,214
89,bateau,214
90,"beau (bel, belle, beaux, belles)",214
91,beaucoup,214
92,bébé,214
93,Belge,214
94,belge,214
95,Belgique,214
96,ben,214
97,beurre,214
98,bien,214
99,bien sûr,214
100,bienvenue,214
101,billet,214
102,bise,214
103,bisou,214
104,blanc(che),214
105,blessé(e),214
106,bleu(e),214
107,blond(e),214
108,blouson,214
109,boire,214
110,boîte,214
111,bon(ne),214
112,bonjour,214
113,bord,214
114,Bordeaux,214
115,bouche,214
116,boulanger(ère),214
117,boulangerie,214
118,boulot,214
119,bout,214
120,bouteille,214
121,bravo,214
122,bref,214
123,Brest,214
124,Bretagne,214
125,briller,214
126,brun(e),214
127,Bruxelles,214
128,bruyant(e),214
129,bureau,214
130,bus,214
131,ça,214
132,cabinet,214
133,cadeau (cadeaux),214
134,café,214
135,calme,214
136,calmer(se),214
137,camembert,214
138,camion,214
139,campagne,214
140,camping,214
141,faire du camping,214
142,Canada,214
143,candidat(e),215
144,Cantal,215
145,carte,215
146,carte postale,215
147,casting,215
148,Cayenne,215
149,CD,215
150,célèbre,215
151,centre,215
152,céréales,215
153,certain(e),215
154,certainement,215
155,chaise,215
156,chambre,215
157,champagne,215
158,champion(ne),215
159,chance,215
160,Chandeleur,215
161,changement,215
162,changer,215
163,chanson,215
164,chapeau,215
165,chat(te),215
166,château,215
167,chaton,215
168,chaud(e),215
169,chaussure,215
170,cheminée,215
171,chemise,215
172,cher(ère),215
173,chercher,215
174,cheval (chevaux),215
175,cheveux,215
176,chez,215
177,chien(ne),215
178,chiffre,215
179,Chinois(e),215
180,chinois(e),215
181,chocolat,215
182,choisir,215
183,chose,215
184,cidre,215
185,cinéma,215
186,circonstance,215
187,circuit,215
188,clair(e),215
189,classe,215
190,classique,215
191,client(e),215
192,club,215
193,coca,215
194,coiffure,215
195,coin,215
196,collègue,215
197,combien,215
198,comme,215
199,commencer,215
200,commencer à faire qch.,215
201,comment,215
202,commerce,215
203,complet(ète),215
204,comprendre,215
205,conditionné(e),215
206,confiture,215
207,connaître,215
208,conseil,215
209,construction,215
210,contacter,215
211,contemporain(e),215
212,continuer,215
213,contre,215
214,copain(copine),215
215,coq,215
216,corps,215
217,correctement,216
218,correspondance,216
219,correspondant(e),216
220,Corse (la),216
221,côté,216
222,à côté (de),216
223,coucher(se),216
224,couleur,216
225,couloir,216
226,couple,216
227,cours,216
228,course,216
229,faire des / les courses,216
230,court(e),216
231,coûter,216
232,couture,216
233,haute couture,216
234,crêpe,216
235,crêperie,216
236,croire,216
237,croissant,216
238,cuisine,216
239,culturel(le),216
240,d'abord,216
241,d'accord,216
242,Dakar,216
243,dans,216
244,danse,216
245,de,216
246,degré,216
247,déjà,216
248,déjeuner,216
249,demander,216
250,demander à qn de faire qch.,216
251,départ,216
252,dépense,216
253,dernier(ère),216
254,descendre,216
255,désolé(e),216
256,dessert,216
257,destination,216
258,détendre(se),216
259,détester,216
260,deux-chevaux,216
261,deuxième,216
262,devant,216
263,difficile,216
264,dimanche,216
265,dîner,216
266,dire,216
267,direct(e),216
268,directeur(trice),216
269,discothèque,216
270,docteur,216
271,document,216
272,donc,216
273,donner,216
274,dormir,216
275,douche,216
276,droit,216
277,droite,216
278,à droite (de),216
279,dynamique,216
280,eau,216
281,école,216
282,écouter,216
283,écrire,216
284,écrivain,216
285,e-mail,216
286,embrasser,216
287,employé(e),216
288,en,216
289,endormir(s'),217
290,enfance,217
291,enfant,217
292,enfin,217
293,ennuyer(s'),217
294,en plus,217
295,enquête,217
296,ensemble,217
297,ensuite,217
298,entraînement,217
299,entraîner(s'),217
300,entre,217
301,entrée,217
302,entreprise,217
303,entrer,217
304,entretien,217
305,envie,217
306,avoir envie de qch. / faire qch.,217
