序号,原书页码,原词条,lexeme_uid,lemma,pos,ipa,english,spanish,chinese,example_fr,example_en,example_es,example_zh,review_status
1,213,à,fr:à:preposition:1,à,preposition,/a/,to (destination),a,在；向，到；给,Je vais à Paris.,I am going to Paris.,Voy a París.,我要去巴黎。,machine-assisted
2,213,à partir de,fr:à partir de:preposition:1,à partir de,preposition,/a paʁ.tiʁ də/,from […] onward; starting from; beginning with,a partir de,从起（表示时间或空间的起点）,Le musée ouvre à partir de neuf heures.,The museum opens from nine o'clock.,El museo abre a partir de las nueve.,博物馆从九点起开放。,machine-assisted
3,213,accident,fr:accident:noun:1,accident,noun,/ak.si.dɑ̃/,accident,accidente,事故,On parle de l’accident.,We are talking about it.,Estamos hablando de ello.,我们正在谈论事故。,machine-assisted
4,213,acheter,fr:acheter:verb:1,acheter,verb,/aʃ.te/,to purchase; buy,comprar,买,Je vais acheter du pain.,I am going to purchase some bread.,Voy a comprar pan.,我要去买一些面包。,machine-assisted
5,213,acteur(trice),fr:acteur:noun:1,acteur,noun,/ak.tœʁ/,actor,actor,演员,Voici l’acteur.,Here it is.,Aquí está.,这是演员。,machine-assisted
6,213,activité,fr:activité:noun:1,activité,noun,/ak.ti.vi.te/,"activity (something to do for educational, recreational, or other purposes)",actividad,活动,On parle de l’activité.,We are talking about it.,Estamos hablando de ello.,我们正在谈论活动。,machine-assisted
7,213,actuel(le),fr:actuel:adjective:1,actuel,adjective,/ak.tɥɛl/,current,actual,目前的，现实的，当前的,C’est quelque chose d’actuel.,It is something current.,Es algo actual.,这是当前的事情。,machine-assisted
8,213,adorer,fr:adorer:verb:1,adorer,verb,/a.dɔ.ʁe/,"to love, to adore",adorar,热爱，爱慕，宠爱，（俗）喜爱,Je vais adorer ce film.,I am going to love this film.,Voy a adorar esta película.,我会很喜欢这部电影。,machine-assisted
9,213,adresse,fr:adresse:noun:1,adresse,noun,/a.dʁɛs/,address (the description or instructions to determine a geographic location),"dirección, indicación, destinatario, destino",地址，住址,On parle de l’adresse.,We are talking about it.,Estamos hablando de ello.,我们正在谈论地址。,machine-assisted
10,213,aéroport,fr:aéroport:noun:1,aéroport,noun,/a.e.ʁɔ.pɔʁ/,"airport (place, company managing such a place)",aeropuerto,飞机场,Voici l’aéroport.,Here it is.,Aquí está.,这是飞机场。,machine-assisted
11,213,affiche,fr:affiche:noun:1,affiche,noun,/a.fiʃ/,poster,cartelera,海报，布告，广告，通告,Voici l’affiche.,Here it is.,Aquí está.,这是海报。,machine-assisted
12,213,âge,fr:âge:noun:1,âge,noun,/aʒ/,age,edad,年龄，年纪,Voici l’âge.,Here it is.,Aquí está.,这是年龄。,machine-assisted
13,213,agence,fr:agence:noun:1,agence,noun,/a.ʒɑ̃s/,agency,agencia,代理处，代办处,On parle de l’agence.,We are talking about it.,Estamos hablando de ello.,我们正在谈论代理处。,machine-assisted
14,213,agence immobilière,fr:agence immobilière:expression:1,agence immobilière,expression,/aʒˈɑ̃s imobiljˈɛʁ/,real estate agency,agencia inmobiliaria,房产代理公司,Nous cherchons un appartement dans une agence immobilière.,We are looking for a flat through a real estate agency.,Buscamos un piso en una agencia inmobiliaria.,我们正在一家房地产中介公司寻找一套公寓。,machine-assisted
15,213,agenda,fr:agenda:noun:1,agenda,noun,/a.ʒɛ̃.da/,"organiser, appointment book, engagement book",agenda,日程；记事表,Voici l’agenda.,Here it is.,Aquí está.,这是日程。,machine-assisted
16,213,ah,fr:ah:interjection:1,ah,interjection,/a/,ah,ah,啊！哦！,"Ah, je comprends maintenant.","Ah, I understand now.","Ah, ahora entiendo.",啊，我明白了。,machine-assisted
17,213,aimer,fr:aimer:verb:1,aimer,verb,/ɛ.me/,to like,gustar,喜欢,J’aime le café.,I like coffee.,Me gusta el café.,我喜欢咖啡。,seed-reviewed
18,213,air,fr:air:noun:1,air,noun,/ɛʁ/,air (gases of the atmosphere),aire,空气,Voici l’air.,Here it is.,Aquí está.,这是空气。,machine-assisted
19,213,air conditionné,fr:air conditionné:noun:1,air conditionné,noun,/ɛʁ kɔ̃.di.sjɔ.ne/,air conditioning,aire acondicionado,空调,Voici les air conditionné.,Here it is.,Aquí está.,这些是空调。,machine-assisted
