序号,原书页码,法语词条,中文释义,对齐分数
1,213,à,在；向，到；给,1.64
2,213,à partir de,从起（表示时间或空间的起点）,1.60
3,213,accident,事故,1.63
4,213,acheter,买,1.64
5,213,acteur(trice),演员,1.64
6,213,activité,活动,1.64
7,213,actuel(le),目前的，现实的，当前的,1.63
8,213,adorer,热爱，爱慕，宠爱，（俗）喜爱,1.63
9,213,adresse,地址，住址,1.64
10,213,aéroport,飞机场,1.64
11,213,affiche,海报，布告，广告，通告,0.95
12,213,âge,年龄，年纪,1.63
13,213,agence,代理处，代办处,1.63
14,213,agence immobilière,房产代理公司,1.60
15,213,agenda,日程；记事表,1.63
16,213,ah,啊！哦！,1.63
17,213,aimer,爱，热爱,1.64
18,213,air,空气,1.63
19,213,air conditionné,空调,1.60
20,213,Albi,阿尔比（法国城镇，位于塔恩省）,1.63
21,213,album,影集，集邮册，纪念册；唱片集,1.63
22,213,aller,去，走；处于的健康状况；运转，进行，进展,1.63
23,213,aller,去程（的火车、飞机）票,1.63
24,213,aller-retour,往返票,1.63
25,213,allô,喂！（打电话用语）,1.63
26,213,allumer,点亮；（俗）打开（暖气、收音机、电视、电脑等）,1.64
27,213,alors,那么，在这种情况下,1.63
28,213,ami(e),朋友,1.63
29,213,petit ami,男朋友,1.60
30,213,amour,爱，爱情,1.64
31,213,amoureux(euse),恋爱中的；爱情的,1.64
32,213,amuser(s'),玩耍；娱乐,1.63
33,213,an,年；岁,1.63
34,213,ancien(ne),旧的，先前的,1.63
35,213,année,年,1.63
36,213,Bonne année !,新年好,1.60
37,213,anniversaire,生日,1.63
38,213,annonce,启事，告示，布告，公告,1.63
39,213,petite annonce,（报纸上的）启事（栏）广告（栏）,1.60
40,213,août,八月,1.63
41,213,appartement,公寓套房,1.63
42,213,appeler,称呼为；给（某人）打电话,1.64
43,213,s'appeler,名叫；互相通电话,1.60
44,213,apprendre,学习,1.63
45,213,après,然后,1.63
46,213,après-midi,下午,1.63
47,213,aquarium,水族馆,1.63
48,213,arc,弓,1.63
49,213,arc de triomphe,凯旋门,1.60
50,213,Arcachon,阿卡雄（法国）,1.63
51,213,archéologie,考古学,1.63
52,213,argent,银，白银；钱,1.63
53,213,arrêter,停止,1.63
